pid,lat,lng,degree,building_id,left_angle_geo,right_angle_geo,fov_geo
2OjnDXv3LvkmqK6u1Vlsew,48.14841247515226,11.568407770055572,203.2688293457031,4647135,55.06576277077386,111.32188352891484,56.25612075814098
2OjnDXv3LvkmqK6u1Vlsew,48.14841247515226,11.568407770055572,203.2688293457031,10053349,260.17468768355104,308.90957655423904,48.734888870687996
2OjnDXv3LvkmqK6u1Vlsew,48.14841247515226,11.568407770055572,203.2688293457031,50300147,204.22828362699332,259.697389180987,55.46910555399367
2OjnDXv3LvkmqK6u1Vlsew,48.14841247515226,11.568407770055572,203.2688293457031,6758375,310.283410269201,26.415830523069644,76.13242025386864
bC05qe_3Tu5FHY2kj7HlXA,48.148371874960986,11.568382496549935,203.0428466796875,4647135,53.015023960034114,109.83472189277734,56.819697932743225
bC05qe_3Tu5FHY2kj7HlXA,48.148371874960986,11.568382496549935,203.0428466796875,10053349,267.0592244888029,316.99883843266457,49.93961394386167
bC05qe_3Tu5FHY2kj7HlXA,48.148371874960986,11.568382496549935,203.0428466796875,50300147,204.30868088680825,266.569239046141,62.26055815933273
bC05qe_3Tu5FHY2kj7HlXA,48.148371874960986,11.568382496549935,203.0428466796875,6758375,318.3207026799056,25.813255010806643,67.49255233090105
KWUdByQiY29WPZRczuNZGw,48.14827037448279,11.568319312785851,203.6719665527344,4647135,48.80600060109197,106.13933667054641,57.33333606945445
KWUdByQiY29WPZRczuNZGw,48.14827037448279,11.568319312785851,203.6719665527344,10053349,287.8499853152255,333.2102395894107,45.360254274185195
KWUdByQiY29WPZRczuNZGw,48.14827037448279,11.568319312785851,203.6719665527344,50300147,204.56150324304429,287.4228135898025,82.86131034675822
KWUdByQiY29WPZRczuNZGw,48.14827037448279,11.568319312785851,203.6719665527344,6758375,334.27882945359283,24.94381883642609,50.664989382833255
rcxhK-EIcKH2cUwiZYeVJQ,48.1481688740046,11.568256129021766,206.1407165527344,50300147,204.9284820825849,17.562378861917637,172.63389677933273
rcxhK-EIcKH2cUwiZYeVJQ,48.1481688740046,11.568256129021766,206.1407165527344,6758375,17.651670276517393,24.477888338337607,6.826218061820214
Ds8NRwfyAHzlM8vbxFWuKw,48.14808767362205,11.568205582010496,207.9880981445312,50300147,205.36764286223513,20.148313906469184,174.78067104423405
Ds8NRwfyAHzlM8vbxFWuKw,48.14808767362205,11.568205582010496,207.9880981445312,6758375,20.607274712263006,24.2364925093421,3.629217797079093
iHWj6vHPA8dvG9T9LE9opw,48.14800647323949,11.568155034999227,206.5413513183594,50300147,206.05499162019933,21.054789326618106,174.99979770641878
nq9n_rupZYzYJqw-lgBfjg,48.147904972761296,11.56809185123514,204.12754821777344,50300147,207.757639122483,21.598716696356234,173.84107757387324
nq9n_rupZYzYJqw-lgBfjg,48.147904972761296,11.56809185123514,204.12754821777344,96114071,205.0301562595452,207.68860851544994,2.6584522559047343
nBvJ9eHh8hcqUJvb_jr9bw,48.1478034722831,11.568028667471054,202.9518585205078,50300147,213.51021718448956,21.89879531031721,168.38857812582765
nBvJ9eHh8hcqUJvb_jr9bw,48.1478034722831,11.568028667471054,202.9518585205078,96114071,205.5964427815172,212.8530751686505,7.256632387133294
nBvJ9eHh8hcqUJvb_jr9bw,48.1478034722831,11.568028667471054,202.9518585205078,9593522,127.51201289350865,178.96417144865177,51.452158555143114
J9JkzoZ0LNBvqFmOR_QZUA,48.147701971804906,11.567965483706969,111.97154998779298,19183732,205.01475889978528,206.5256092550127,1.5108503552274328
J9JkzoZ0LNBvqFmOR_QZUA,48.147701971804906,11.567965483706969,111.97154998779298,50300147,293.4864709023578,22.088977864513254,88.60250696215547
J9JkzoZ0LNBvqFmOR_QZUA,48.147701971804906,11.567965483706969,111.97154998779298,54293421,253.0679033246817,270.71955033370045,17.651647009018745
J9JkzoZ0LNBvqFmOR_QZUA,48.147701971804906,11.567965483706969,111.97154998779298,96114071,206.58219409858316,252.70531929536824,46.12312519678508
J9JkzoZ0LNBvqFmOR_QZUA,48.147701971804906,11.567965483706969,111.97154998779298,9593522,121.67519324363423,175.51388312502013,53.8386898813859
