pid,lat,lng,degree,building_id,left_angle_geo,right_angle_geo,fov_geo
KYUDLOPaywuOngRUMBfE6g,48.149888335675406,11.56860603377793,293.708984375,4959462,9.66326020645846,234.05287874628243,224.38961853982397
FTjbcYI5GPOqSmJfd5VG4w,48.14987327203851,11.568663155823076,297.6041564941406,4959462,197.03931413831282,25.047400121225053,188.00808598291223
dfw7DepxqMV1d2xfCDCv2Q,48.14984314476473,11.568777399913364,300.3140258789062,4959462,243.40963704692962,4.63249642776276,121.22285938083314
dfw7DepxqMV1d2xfCDCv2Q,48.14984314476473,11.568777399913364,300.3140258789062,4959322,138.49763899009463,243.40963704692962,104.91199805683499
dfw7DepxqMV1d2xfCDCv2Q,48.14984314476473,11.568777399913364,300.3140258789062,4959323,124.6527495579823,138.49763899009463,13.844889432112325
T1VOf8ljili8R0U50M7P2Q,48.149807996278646,11.568910684685369,295.3987731933594,4959462,264.3982403851647,346.96918048988493,82.57094010472025
T1VOf8ljili8R0U50M7P2Q,48.149807996278646,11.568910684685369,295.3987731933594,4959322,162.7814308748175,264.3982403851647,101.6168095103472
T1VOf8ljili8R0U50M7P2Q,48.149807996278646,11.568910684685369,295.3987731933594,4959323,130.18343013422304,162.7814308748175,32.59800074059444
qYX0ZPbLanBsX1Gx4MCiVA,48.14977284779256,11.569043969457374,294.08081054687506,4959462,272.6947383003946,334.2226915724542,61.52795327205962
qYX0ZPbLanBsX1Gx4MCiVA,48.14977284779256,11.569043969457374,294.08081054687506,4959322,252.031230592722,272.6947383003946,20.66350770767258
qYX0ZPbLanBsX1Gx4MCiVA,48.14977284779256,11.569043969457374,294.08081054687506,4959323,141.48568907081517,217.9495072993436,76.46381822852845
G3i2BY-vM_goWMhnz00JXw,48.14973769930648,11.569177254229375,294.5328369140625,4959462,276.9497038304515,325.4053404668665,48.45563663641502
G3i2BY-vM_goWMhnz00JXw,48.14973769930648,11.569177254229375,294.5328369140625,4959322,259.90071541071643,276.9497038304515,17.048988419735053
G3i2BY-vM_goWMhnz00JXw,48.14973769930648,11.569177254229375,294.5328369140625,4959323,170.68540464666523,255.1752581465471,84.48985349988186
CXuuB2yDaxeDUT5s9Nn8KQ,48.149707572032696,11.569291498319666,295.4567260742188,4959462,279.20966940681245,319.97733896752754,40.76766956071509
CXuuB2yDaxeDUT5s9Nn8KQ,48.149707572032696,11.569291498319666,295.4567260742188,4959322,269.0329879036208,279.20966940681245,10.176681503191674
CXuuB2yDaxeDUT5s9Nn8KQ,48.149707572032696,11.569291498319666,295.4567260742188,4959323,203.9382364344045,267.19234515769625,63.25410872329178
