index,pid,lat,lng,heading,degree,date,location
0,wXKCvq8n3t1hFcGLwkfv-A,48.14891623120237,11.568858675467272,3.555737905230817,203.72877502441412,2023-07,"Munich, Bavaria"
1,KDz7hQ8wGCQ4i8Q8nOLQiA,48.14887825125794,11.5688313894051,3.5440005553585103,203.05627441406253,2023-07,"Munich, Bavaria"
2,WWAd2KQzSXyGvvB90Rjwog,48.14880229136908,11.568776817280757,3.5415504471556374,202.9158935546875,2023-07,"Munich, Bavaria"
3,LCqRUd88XPaMs5tv-4JR2g,48.14871367149874,11.568713149802354,3.5432596639432496,203.01382446289062,2023-07,"Munich, Bavaria"
4,FKoNWy90BUsWKCyGbZ66uA,48.14863771160988,11.568658577678011,3.545712435307212,203.15435791015616,2023-07,"Munich, Bavaria"
5,hxxs26rZCvsMJY55ILnoKg,48.14854909173954,11.568594910199609,3.5526992384270355,203.5546722412109,2023-07,"Munich, Bavaria"
6,2OjnDXv3LvkmqK6u1Vlsew,48.14844781188772,11.568522147367151,3.54771033875699,203.2688293457031,2023-07,"Munich, Bavaria"
