,pid,lat,lng,heading,degree,date,location
0,J9JkzoZ0LNBvqFmOR_QZUA,48.14762478737467,11.56801942414842,1.9542722158484043,111.97154998779298,2022-01,"Munich, Bavaria"
1,KWUdByQiY29WPZRczuNZGw,48.1481984216616,11.5684048405009,3.5547464103569806,203.6719665527344,2023-07,"Munich, Bavaria"
2,rcxhK-EIcKH2cUwiZYeVJQ,48.1481984216616,11.5684048405009,3.5547464103569806,203.6719665527344,2023-07,"Munich, Bavaria"
